Region,Province,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Statistical_Division_Code,Province.Code
NA,Fujian,22.4096,53.81753118042454,144.7954,347.7314212186691,1190.172,1285.72,58.5499,      350000,350000
NA,Gansu,0.0054,79.02104324388124,133.36,223.1819969240968,0.060875,NA,21.29,      620000,620000
NA,Guangdong,19.4258,32.32758644460968,94.6462,157.50644943574693,2508.228,2625.807,71.7438,      440000,440000
NA,Guangxi,36.9347,96.43561165292935,117.2302,306.0847274394405,971.416,NA,NA,      450000,450000
NA,Guizhou,61.8417,135.23067130169483,305.14,667.2540732318643,1247.011,1296.235,32.25,      520000,520000
NA,Hainan,51.137,61.12217857822717,121.3182,145.00734229711802,348.663,370.34,39.7236,      460000,460000
NA,Hebei,37.17,56.66498803968408,257.16,392.0407960408295,1574.909,1715.91,43.7423,      130000,130000
NA,Heilongjiang,45.8518,54.584423862513056,NA,586.9662026359777,729.0899999999999,741.0600000000001,23.672,      230000,230000
NA,Henan,24.6211,57.56899627784834,NA,538.4562421081038,1510.38,1643.4,40.0353,      410000,410000
NA,Hubei,25.8679,75.49378488054636,NA,559.4611408955288,1390.01,NA,41.17,      420000,420000
NA,Hunan,31.6519,87.7620695960211,NA,665.5777812842739,1540.508,1559.191,34.4444,      430000,430000
NA,Jiangsu,16.8415,94.47380742753997,72.6199,407.3683980929771,2069.405,2259.414,62.1268,      320000,320000
NA,Jiangxi,33.8576,108.99817251389914,NA,656.23144220648,1085.95,1179.444,40.4525,      360000,360000
NA,Jilin,54.8391,90.6857614639081,133.624,220.97006103405707,716.76,754.9100000000001,21.0435,      220000,220000
NA,Jilin,33.63,95.9898535522732,NA,NA,51.042,53.092,NA,      220000,220000
NA,Liaoning,37.8941,44.43386811502084,158.02,185.2963029301891,1097.984,1171.849,40.3694,      210000,210000
NA,Ningxia,39.3781,54.45376459410759,134.16,185.53351437476056,199.63,223.69,29.0559,      640000,640000
NA,Qinghai,84.328,92.99821680324482,133.5153,171.1336897415078,304.43,326.07,16.6624,      630000,630000
NA,Shaanxi,29.8485,84.16752046809324,NA,505.70913209797936,978.216,1059.015,48.942,      610000,610000
NA,Shandong,26.9777,65.5850855461167,115.6125,281.0632938255547,2358.802,2441.56,58.5585,      370000,370000
NA,Shanghai,19.1222,37.40578006424367,NA,141.01436220863843,853.86,1130.31,80.9969,      310000,310000
NA,Shanxi,24.5131,33.836027177964084,91.2787,125.99430064800326,628.579,NA,58.8138,      140000,140000
NA,Sichuan,31.199,132.66484001199444,96.7211,411.27832612366655,1770.5400000000002,1850.7,40.9764,      510000,510000
NA,Tianjin,53.0033,151.9017102694653,NA,1080.819827938646,864.5544400000001,889.0129999999999,67.1102,      120000,120000
NA,Tibet,26.2914,49.22393638440149,NA,553.967998368496,56.07000000000001,64.53,NA,      540000,540000
NA,Xinjiang,44.2622,78.03299953751126,NA,566.6611993020465,785.27,959.99,32.9928,      650000,650000
NA,Yunnan,41.7843,72.2199007154475,149.4548,258.3175455364933,1209.83,NA,29.0955,      530000,530000
NA,Zhejiang,25.9523,127.00025088350722,84.6366,414.1779266663903,2016.8830000000005,768.427,66.8962,      330000,330000
Nagqu,Tibet,NA,NA,1575.97,1575.0385208012326,10.222,10.314,2.09,540600,540000
Nan'an,Chongqing,27.45,90.31053498069689,187.8,617.8355487925662,25.314,25.32,62.41,500108,500000
Nanchang,Jiangxi,20.5697,108.03957720178803,323.75,1101.4680866552153,148.174,160.792,59.4125,360100,360000
Nanchong,Sichuan,36.74,54.22430459010968,361.26,533.1990434328451,98.66,101.56,22.26,511300,510000
Nanchuan,Chongqing,27.35,154.4083978657159,112.07,632.7996404606632,11.525,11.525,35.97,500119,500000
Nanjing,Jiangsu,17.67,140.21454047100724,95.16,754.9362857378976,298.82,329.97,85.21,320100,320000
Nankai,Tianjin,11.21,11.214618416338231,242.1,242.13031835763164,8.138,8.358,64.21,120104,120000
Nanning,Guangxi,25.45,139.389255490062,101.16,553.9625509264766,132.822,143.397,46.81,450100,450000
Nanping,Fujian,33.22,69.14617277953649,385.94,803.2952737848041,73.46900000000001,76.725,30.065,350700,350000
Nantong,Jiangsu,17.39,98.4924239724366,112.9,639.4949264177125,197.877,216.82800000000003,53.43,320600,320000
Nanyang,Henan,23.63,29.52041958799886,247.05,308.597010788191,107.656,112.97,33.08,411300,410000
Neijiang,Sichuan,37.7,60.42618374081897,820.67,1315.3332258191017,62.470000000000006,64.78999999999999,29.88,511000,510000
Neimenggu,Inner Mongolia,40.3292,47.04697471317369,NA,332.1174239289276,933.9692828,NA,47.9924,150000,150000
Ngari,Tibet,NA,NA,NA,NA,2.935,3.058,NA,542500,540000
Ningbo,Zhejiang,18.37,84.25529149820622,71.4,327.4063929497373,288.549,304.135,76.8,330200,330000
Ningde,Fujian,22.8691,33.02449282312033,299.6,432.644833519773,81.291,86.499,43.8603,350900,350000
Ninghe,Tianjin,102.66,128.89241240954544,2336.41,2933.413523803448,33.878,34.578,NA,120117,120000
Nujiang,Yunnan,48.72,48.721642059776734,77.93,77.9328,12.177,12.57,11.19,533300,530000
Nyingchi,Tibet,12.24,12.24254644966153,201.96,201.9002375296912,2.55,2.64,9.33,540400,540000
Ordos,Inner Mongolia,29.88,32.896307011269094,185.77,204.51121970891757,167.736,173.75,84.64,150600,150000
Panjin,Liaoning,56.3,59.37938092432762,525.56,554.2791110851576,78.501,81.027,56.55,211100,210000
Panzhihua,Sichuan,19.55,39.11988532005211,199.92,399.98829212390046,23.866,25.541,58.58,510400,510000
Pengshui,Chongqing,40.02,61.43341771208309,116.15,178.27823636196257,11.292,11.292,23.88,500243,500000
Pingdingshan,Henan,21.51,40.37296736308918,189.82,356.26609094679264,61.078,64.251,56.75,410400,410000
Pinggu,Beijing,34.85,47.86671666243269,368.11,505.5140973964849,14.241,14.32,21.63,110117,110000
Pingliang,Gansu,38.13,64.14389380010286,451.64,759.7090526909728,24.465,26.234,16.33,620800,620000
Pingxiang,Jiangxi,41.95,153.7001728739238,454.47,1665.2000148534082,48.678,52.04600000000001,34.9087,360300,360000
Pu'er,Yunnan,38.87,46.38414451148681,116.59,139.1200188306871,41.71,NA,14.99,530800,530000
Pudong,Shanghai,4.93,34.39380188514894,41.14,287.16197381870273,78.898,131.61,69.9,310115,310000
Putian,Fujian,35.59,51.63088590229924,456.1,661.7811509734547,110.91527,114.96523,54.7617,350300,350000
Putuo,Shanghai,NA,36.70735307099653,91.71,119.06043894556176,35.293,41.760000000000005,59.76,310107,310000
Puyang,Henan,28.69,42.31996949456744,292.1,430.86832242615446,54.209,57.052,36.43,410900,410000
Qiandongnan,Guizhou,57.24,94.08371018141854,466.96,767.5546147841641,74.01261802,76.410832,15.93,522600,520000
Qianjiang,Chongqing,52.53,142.67879635016152,143.65,390.17802493155335,14.794999999999998,14.82,40.18,500114,500000
Qianjiang,Hubei,10.67,32.158396566356515,81.52,245.71908234712168,9.46,10.244,33.45,429005,420000
Qiannan,Guizhou,62.15,97.28756111473784,1003.44,550.3085082727788,110.1382132,111.5432197,24.3519,522700,520000
Qianxinan,Guizhou,48.06,82.32855683437381,329,563.5482395186007,72.51356,73.28711,28.6539,522300,520000
Qijiang,Chongqing,23.95,103.39420876138767,148.24,639.9166707177615,18.463,18.47,29.86,500110,500000
Qingdao,Shandong,20.6388,109.6940169601354,241.87,830.8235974587225,307.947,339.025,70.7332,370200,370000
Qingpu,Shanghai,9.5,9.50279141219229,30.01,30.01064962726305,12.681,18.51,58.55,310118,310000
Qingyang,Gansu,NA,NA,NA,NA,NA,NA,22.05,621000,620000
Qingyuan,Guangdong,37.51,40.81056454003213,540.66,398.44297511348674,76.230949999999993,76.35560000000001,33.5259,441800,440000
Qinhuangdao,Hebei,34.5,40.06433716964473,256.69,298.0739231363672,65.882,77.755,54.38,130300,130000
Qinzhou,Guangxi,20.82,43.32087650541993,99.27,206.51046963965288,39.92,41.469,29.63,450700,450000
Qionghai,Hainan,NA,NA,NA,NA,NA,NA,18.36,469002,460000
Qiongzhong,Hainan,NA,NA,NA,NA,NA,NA,7.81,469030,460000
Qiqihar,Heilongjiang,33.66,58.27538734155537,386.41,668.9336397506531,44.365,44.749,17.15,230200,230000
Qitaihe,Heilongjiang,83.75,83.74860542952771,801.43,801.4234875444838,22.52,22.571,27.36,230900,230000
Quanzhou,Fujian,17.4546,41.95689301997361,238.87,574.1964971891903,211.2524,238.04682,65.3467,350500,350000
Qujing,Yunnan,20.35,22.82705627508285,121.18,135.9667784709089,77.356,NA,29.08,530300,530000
Quzhou,Zhejiang,43.13,118.28692403450565,86.05,235.9895987728441,86.408,86.417,30.49,330800,330000
Rizhao,Shandong,23.1241,54.5155127046693,75.6183,178.27129902452782,53.34204,54.794,64.02,371100,370000
Rongchang,Chongqing,16.91,43.37501169560867,189.52,483.7413938028517,13.822,13.822,32.37,500153,500000
Sanmenxia,Henan,19.45,39.04100934991678,173.58,348.3641712030659,32.608999999999995,34.551,50.44,411200,410000
Sanming,Fujian,24.9392,48.23224506058248,407.4,788.0161242170611,77.56443,88.04199,31.6399,350400,350000
Sansha,Hainan,NA,NA,NA,NA,NA,NA,NA,460300,460000
Sanya,Hainan,60.6468,63.62107917265762,303.43,318.3442169725728,51.374521300000005,51.3745313,42.7948,460200,460000
Shangluo,Shaanxi,44.88,51.27549975353439,765.93,875.1742635694026,40.507,43.904,8.92,611000,610000
Shangqiu,Henan,24.97,50.871098835889526,254.22,517.866198907582,81.476,84.275,38.81,411400,410000
Shangrao,Jiangxi,33.79,140.690687037511,206.55,860.0738213669192,111.819,123.348,31.6075,361100,360000
Shannan,Tibet,24.63,25.137871429747307,385.85,385.8496525584334,6.108,6.824,5.77,540500,540000
Shantou,Guangdong,26.8917,28.859033054973757,445.96,478.7267768081364,81.144,81.551,33.2122,440500,440000
Shanwei,Guangdong,36.8978,38.93338632246108,108.08,114.0454930078477,48.77967,50.55258,20.6687,441500,440000
Shaoguan,Guangdong,39.1411,40.708736237472266,647.64,477.3568926391849,61.21395,61.52201,26.6109,440200,440000
Shaoxing,Zhejiang,22.86,204.76743952150383,311.15,2786.856454618285,168.049,168.058,67.1,330600,330000
Shaoyang,Hunan,29.77,56.307714916215886,274.93,519.9257041313368,77.389,77.569,20.08,430500,430000
Shapingba,Chongqing,24.83,121.47170090561126,245.78,1202.331914786155,27.482,27.49,44.42,500106,500000
Shennongjia,Hubei,67.65,67.64542936288089,89.47,89.45349846698241,2.442,2.593,27.4394,429021,420000
Shenyang,Liaoning,24.79,31.162779115414903,223.59,281.06287050571336,190.78,207.779,68.04,210100,210000
Shenzhen,Guangdong,6.43,15.586621938110111,28.9,70.05121449818704,208.288,222.62,80.2897,440300,440000
Shigatse,Tibet,23.38,42.991627036334,504.21,927.2663681162096,8.462,8.597,4.08,540200,540000
Shihezi,Xinjiang,NA,NA,NA,NA,NA,NA,NA,659001,650000
Shijiazhuang,Hebei,28.61,82.59602067151086,192.39,555.5115362350273,203.12,224.7,56.77,130100,130000
Shijingshan,Beijing,20.51,20.51020408163265,124.89,124.89126382502796,20.1,24.547,60.49,110107,110000
Shiyan,Hubei,26.16,70.2124419634049,269.63,723.6258418040426,60.295,63.651,28.32,420300,420000
Shizhu,Chongqing,45.92,69.62194911292869,742.59,1125.7433024779584,9.6,9.6,23.04,500240,500000
Shizuishan,Ningxia,NA,19.247411082585742,NA,513.0718954248366,13.345,15.522,21.24,640200,640000
Shuanghe,Xinjiang,NA,NA,NA,NA,NA,NA,9.11,659007,650000
Shuangyashan,Heilongjiang,51.59,67.3889875666188,538.32,703.1674882419476,28.746,29.036,21.99,230500,230000
Shunyi,Beijing,38.13,51.71311260269149,250.01,339.0412530766555,79.06,80.465,52.39,110113,110000
Shuozhou,Shanxi,NA,NA,NA,NA,NA,NA,63.6,140600,140000
Siping,Jilin,21.23,21.232229117601552,464.07,464.1488162344983,12.351,NA,12.25,220300,220000
Songjiang,Shanghai,11.21,22.17515043181039,30.81,61.658629013568046,19.39,30.7,61.65,310117,310000
Songyuan,Jilin,20.98,28.83270602237754,NA,NA,18.306,18.741,NA,220700,220000
Suihua,Heilongjiang,38.76,39.75168405611017,655.78,672.4492421078015,47.994,48.732,12.89,231200,230000
Suining,Sichuan,37.58,76.2960794410178,586.93,1191.6197288878784,60.67,62.120000000000005,36.18,510900,510000
Suizhou,Hubei,17.18,38.356888036710366,88.8865,198.41211374944135,22.83306,24.1166,27.9831,421300,420000
Suqian,Jiangsu,21.94,63.21495099779182,139.04,400.6205138460946,90.215,92.977,43.66,321300,320000
Suzhou,Anhui,34.8136,83.61670977393688,249.63,599.773433169214,77.44624999999999,82.93174,31.0929,341300,340000
Suzhou,Jiangsu,7.4,61.88235066119145,42.71,357.2388527526769,177.241,211.076,89.98,320500,320000
Tacheng,Xinjiang,37.9,46.39340362117977,485.74,594.6159162276786,33.731,37.149,22.64,654200,650000
Tai'an,Shandong,26,61.76335276859698,86.4752,205.3824910675294,83.167,84.494,50.4222,370900,370000
Taiyuan,Shanxi,NA,NA,NA,NA,NA,NA,61.11,140100,140000
Taizhou,Jiangsu,15.64,111.07043859455744,105.35,748.0063977966105,100.145,108.606,59.79,321200,320000
Taizhou,Zhejiang,26.58,95.3258905258148,88.67,317.9522789811052,160.582,160.592,52.79,331000,330000
Tangshan,Hebei,25.27,40.11591322650016,414.5,657.9320229502671,224.948,253.326,57.84,130200,130000
Tianmen,Hubei,15.67,33.556508524827066,88.65,189.87698844016435,11.438,12.143,24.78,429006,420000
Tianshui,Gansu,NA,NA,NA,NA,NA,NA,14.13,620500,620000
Tieling,Liaoning,44.3,44.29726862901087,494.44,494.4354003255883,33.409,34.095,21.23,211200,210000
Tiemenguan,Xinjiang,NA,NA,NA,NA,NA,NA,NA,659006,650000
Tongchuan,Shaanxi,37.7051,42.56915705706656,553.58,624.9970915010092,19.06183,20.13823,16.6286,610200,610000
Tonghua,Jilin,33.74,38.00141428842704,NA,NA,19.934,20.113,NA,220500,220000
Tongliang,Chongqing,19.26,47.9450252515437,81.26,202.25351546943816,14.131,14.132,49.23,500151,500000
Tongliao,Inner Mongolia,38.65,38.64707388910232,487.38,487.3556721840937,60.359,63.452,21.82,150500,150000
Tongling,Anhui,31.93,84.07449871134803,372.18,979.9781887366088,38.63229,44.10146,51.9,340700,340000
Tongnan,Chongqing,19.9,52.93019547741312,190.66,507.067641099314,11.116,11.116,40.03,500152,500000
Tongren,Guizhou,60.4824,87.15075519291358,1417.23,700.7523315464284,89.34400000000001,90.1251573,14.1235,520600,520000
Tongzhou,Beijing,NA,NA,332.67,874.1135599920132,57.065,65.074,29.2,110112,110000
Tumxuk,Xinjiang,NA,NA,NA,NA,NA,NA,NA,659003,650000
Tunchang,Hainan,NA,NA,NA,NA,NA,NA,21.03,469022,460000
Turpan,Xinjiang,NA,NA,297.75,322.3816701769332,20.446,22.204,49.57,650400,650000
Ulanqab,Inner Mongolia,76.77,76.77866195107575,964.94,964.9709840721076,78.15299999999999,80.011,16.78,150900,150000
Urumqi,Xinjiang,35.99,133.6058055936604,329.72,1223.886773909643,140.125,153.13,69.07,650100,650000
Wanning,Hainan,NA,NA,NA,NA,NA,NA,21.19,469006,460000
Wanzhou,Chongqing,25.83,50.79228786978175,209.28,411.5599400289792,28.887,28.894,47.02,500101,500000
Weifang,Shandong,26.14,87.30199580235954,110.2619,368.2620050103726,190.9863,192.56595,72.7125,370700,370000
Weihai,Shandong,26.268,76.15447964215505,101.7603,295.01623586961176,89.52622,91.001,56.1293,371000,370000
Weinan,Shaanxi,25.1437,41.0378706348103,343.84,561.1937394990927,55.34447,59.25207,17.491,610500,610000
Wenchang,Hainan,35.64,35.64393393211809,352.91,352.93609671848014,12.261,NA,23.04,469005,460000
Wenshan,Yunnan,39.86,40.51212913296665,124.65,126.68062736334105,56.024,52.797,15.85,532600,530000
Wenzhou,Zhejiang,32.81,94.89426015760353,101.24,292.78960198953314,263.48400000000004,263.49,50.44,330300,330000
Wuhai,Inner Mongolia,31.67,31.669820245979185,280.28,280.27982813704966,25.441,NA,67.04,150300,150000
Wuhan,Hubei,33.3669,106.8543670703636,220.4,705.8231999771584,629.51334,648.95669,67.5607,420100,420000
Wuhu,Anhui,22.13,40.51203098168422,165.67,303.3268419151338,99.62,102.81199999999998,66.68,340200,340000
Wujiaqu,Xinjiang,NA,NA,NA,NA,NA,NA,NA,659004,650000
Wulong,Chongqing,28.33,86.34693921531172,283.65,864.900377209793,7.532999999999999,7.540000000000001,43.48,500156,500000
Wuqing,Tianjin,32.15,103.9399761341413,245.21,792.8428657939639,29.575,29.667,74.13,120114,120000
Wushan,Chongqing,47.45,47.44870410367171,139.53,139.52103731145806,10.545,10.55,18.66,500237,500000
Wuwei,Gansu,47.54,47.535423575520056,752.85,752.984718242598,31.535000000000004,NA,12.04,620600,620000
Wuxi,Chongqing,63.49,63.48886018727802,120.87,120.86983248808978,7.865,7.88,17.75,500238,500000
Wuxi,Jiangsu,12.62,59.300474480439455,82.43,387.2823379685569,187.436,193.738,82.99,320200,320000
Wuzhishan,Hainan,17.25,17.23773647134001,307.54,306.88073394495416,0.669,0.701,8.08,469001,460000
Wuzhong,Ningxia,27.25,27.251652191965675,418.7,418.6392629340893,23.628,27.257,15.2,640300,640000
Wuzhou,Guangxi,28.81,41.82272251909951,540.35,784.3390287805812,40.904,41.733,NA,450400,450000
Xi'an,Shaanxi,31.5632,167.0981576130008,170.36,901.8948115709968,362.551,389.997,53.02,610100,610000
Xiamen,Fujian,22.6564,55.667675468105735,92,226.04574698833747,176.78,185.9,81.1795,350200,350000
Xiangtan,Hunan,35.58,81.59902034112191,753.14,1727.353223973868,95.972,96.15,45.64,430300,430000
Xiangxi,Hunan,60.28,80.29185390368195,425.39,566.5825685477773,49.277,49.863,21.11,433100,430000
Xiangyang,Hubei,17.57,52.631726420691486,277.08,829.8909674019752,102.407,107.545,35.04,420600,420000
Xianning,Hubei,19.52,44.5750383670884,217.12,301.84857931545423,36.60814,39.29079,31.3734,421200,420000
Xiantao,Hubei,11.09,29.267663009139905,325.55,859.2361663598957,11.234,12.291,34.03,429004,420000
Xianyang,Shaanxi,15.35,47.647815588905246,189.83,589.072280155629,43.261,48.969,23.45,610400,610000
Xiaogan,Hubei,19.74,52.96493267419886,399.53,1071.948320736608,54.822,58.849,32.03,420900,420000
Xicheng,Beijing,1.35,42.13396969487026,18.48,577.4653538295985,7.684,7.817,95.61,110102,110000
Xilin Gol,Inner Mongolia,NA,NA,NA,NA,NA,NA,33.55,152500,150000
Xingtai,Hebei,37.31,45.9930071228945,275.77,339.9291637878699,95.03,103.364,34.06,130500,130000
Xining,Qinghai,31.48,50.5130127618147,278.06,446.2050633085684,51.761,57.771,38.85,630100,630000
Xinxiang,Henan,18.92,28.9596641555494,193.41,296.08245754712084,65.529,76.83200000000001,47.62,410700,410000
Xinxing,Xinjiang,NA,NA,NA,NA,NA,NA,NA,659011,650000
Xinyang,Henan,26.36,30.936414444379785,329.94,387.23280179972585,84.249,89.965,21.34,411500,410000
Xinyu,Jiangxi,27.6445,49.83314988177134,215.69,410.5169646346053,34.614999999999995,39.544,51.716,360500,360000
Xinzhou,Shanxi,27.88,31.107327223397316,231.56,258.4126175344885,41.829,41.829,34.89,140900,140000
Xiqing,Tianjin,18.91,298.9545385843838,279.42,4417.387958187164,18.721,19.964,NA,120111,120000
Xishuangbanna,Yunnan,27.88,31.66321970840702,603.18,685.1080254514096,20.11,NA,21.44,532800,530000
Xiushan,Chongqing,30.97,65.79066779235644,312.7,664.229850899098,11.093,11.1,27.6,500241,500000
Xuancheng,Anhui,31.4391,100.32300369828144,185.25,591.130681071068,60.187,63.549,54.5586,341800,340000
Xuchang,Henan,18.08,35.593599366328604,235.05,462.8699781541025,67.724,71.697,58.76,411000,410000
Xuhui,Shanghai,NA,NA,40.14,64.16581796330425,14.678,26.17,74.4,310104,310000
Xuzhou,Jiangsu,17.99,79.46788629836341,112.5,496.969697548708,152.154,162.924,50.15,320300,320000
Ya'an,Sichuan,33.34,46.42629839130869,272.51,379.4964093935332,30.087,32.221,35.78,511800,510000
Yan'an,Shaanxi,27.8329,35.31116193525335,344.22,289.99056812964426,62.12106,71.89714000000001,37.8004,610600,610000
Yanbian,Jilin,76.59,76.58516814285885,129.24,129.23958961979483,64.245,66.70599999999999,14.99,222400,220000
Yancheng,Jiangsu,21.69,125.22046804210432,97.49,562.9335299517353,153.533,163.621,40.54,320900,320000
Yangjiang,Guangdong,24.7708,27.098482766680565,97.286,106.42778142332818,38.02369,38.57027,29.0796,441700,440000
Yangpu,Shanghai,NA,NA,193.64,276.5172478068033,60.738,64.55,55.85,310110,310000
Yangquan,Shanxi,NA,NA,NA,NA,NA,NA,51.73,140300,140000
Yangzhou,Jiangsu,15.55,86.07145136418261,111.42,616.7598968397225,110.48,120.74,46.6,321000,320000
Yanqing,Beijing,NA,NA,761.02,843.9788111766159,18.488,19.156,19.88,110119,110000
Yantai,Shandong,19.0808,28.11752541682727,113.7925,167.68495183079267,181.57029,184.806,68.8059,370600,370000
Yibin,Sichuan,26.36,94.6846574506278,174.45,626.5227708199368,90.37,91.94,45.19,511500,510000
Yichang,Hubei,16.83,47.85974528954566,424.2,1206.566829190131,92.59200000000001,98.493,39.01,420500,420000
Yichun,Heilongjiang,61.72,61.71620046620047,957.97,957.9828132066938,21.181,21.554,9.77,230700,230000
Yichun,Jiangxi,26.8381,96.67316179164844,184.63,668.8263016310632,93.212,103.293,40.7007,360900,360000
Yinchuan,Ningxia,26.1383,56.27957208794264,88.96,552.6028941037407,66.277,77,52.45,640100,640000
Yinchuan,Ningxia,26.1383,56.27957208794264,88.96,552.6028941037407,66.277,77,52.45,640100,640000
Yingkou,Liaoning,70.21,75.8265964178821,646.48,698.137214173516,100.519,103.322,51.45,210800,210000
Yingtan,Jiangxi,31.9,98.09360391345804,194.1,587.0958171248416,39.476,42.005,48.1134,360600,360000
Yiyang,Hunan,29.08,52.8957215109629,332.56,604.8890032523598,61.30499999999999,61.40599999999999,24.98,430900,430000
Yongchuan,Chongqing,14.27,83.73504359799308,166,973.797349332012,17.169999999999998,17.19,39.9,500118,500000
Yongzhou,Hunan,31.43,51.503772347353824,477.69,782.8131694626055,75.751,76.453,30.22,431100,430000
Youyang,Chongqing,59.96,59.95855995855997,150.83,150.814332247557,13.89,13.89,23.65,500242,500000
Yubei,Chongqing,9.07,102.79014250442944,127.61,1446.4608199482357,20.83,20.84,51.6,500112,500000
Yueyang,Hunan,19.57,67.17566562025998,241.95,830.4048935035297,92.198,92.634,32.44,430600,430000
Yulin,Guangxi,20.46,31.144360332370614,91.93,139.9252850071513,44.35,44.738,21.02,450900,450000
Yulin,Shaanxi,8.5946,13.656634137229224,52.9,84.06402256835217,56.24,62.773,86.4441,610800,610000
Yuncheng,Shanxi,NA,NA,NA,NA,NA,NA,23.25,140800,140000
Yunfu,Guangdong,38.1492,38.75355832195487,136.34,138.49845647614646,44.34575,44.36014,37.3763,445300,440000
Yunyang,Chongqing,32.18,47.00014036943463,152.3,222.41415598328385,17.949,17.96,21.9,500235,500000
Yushu,Qinghai,NA,34.38494534384945,NA,884.3416370106762,2.4850000000000003,2.603,2.05,632700,630000
Yuxi,Yunnan,26.07,36.54928115004365,545.85,765.1670935780731,65.72,NA,51.63,530400,530000
Yuzhong,Chongqing,8.97,206.20434587722545,141.23,3246.9123930517503,14.001,14.01,53.02,500103,500000
Zaozhuang,Shandong,32.04,53.09408883687422,89.22,147.84498798505996,65.33200000000001,65.66900000000001,54.26,370400,370000
Zhangjiajie,Hunan,59.75,80.73493297108374,1000.17,1351.4375329773948,35.397000000000006,35.448,NA,430800,430000
Zhangjiakou,Hebei,58.95,74.61363034907052,363.73,460.3097014619288,104.661,112.678,28.11,130700,130000
Zhangjiang,Guangdong,25.3353,32.035095474086994,402.63,509.1054233465605,94.05892,94.30881,28.1485,440800,440000
Zhangye,Gansu,NA,NA,NA,NA,NA,NA,16.23,620700,620000
Zhangzhou,Fujian,19.28,39.83407978666381,151.18,312.2762337512378,110.05,117.949,50.3332,350600,350000
Zhaoqing,Guangdong,36.8053,55.63186225916341,619.02,552.9762953044388,99.56023,99.73247,40.5113,441200,440000
Zhaotong,Yunnan,55.74,55.74230055417841,889.23,889.2339544513458,85.9,NA,18.01,530600,530000
Zhengzhou,Henan,22.76,110.80593830595087,178.27,868.025595582836,294.345,336.184,78.04,410100,410000
Zhenjiang,Jiangsu,43.62,113.84652369046093,306.7,800.4436330226749,218.852,224.704,56.75,321100,320000
Zhong,Chongqing,23.99,42.64255119234402,388.8,690.9017940315689,12.19,12.19,31.59,500233,500000
Zhongshan,Guangdong,19.0935,22.429953298308032,155.77,182.9913296182431,69.3339059,71.0417114,68.2358,442000,440000
Zhongwei,Ningxia,34.54,34.53865115536718,652.43,652.4623115577889,19.476,22.47,11.8,640500,640000
Zhoukou,Henan,21.58,47.600770013768354,276.04,608.9393404969229,78.045,83.44800000000001,25.67,411600,410000
Zhoushan,Zhejiang,30.7,141.27730440142983,126.14,580.4038235646672,59.912,59.985,44.08,330900,330000
Zhuhai,Guangdong,27.28,62.977775698903706,134.13,309.6608237023761,110.355,112.031,58,440400,440000
Zhumadian,Henan,23.07,38.38733682646991,205.58,342.01689137054154,75.159,78.15700000000001,37.46,411700,410000
Zhuzhou,Hunan,28.06,96.42741899748395,531.65,1827.1096449607085,101.482,101.629,35.31,430200,430000
Zibo,Shandong,24.52,60.799001891102975,120.58,298.9564931712049,107.962,108.948,71.41,370300,370000
Zigong,Sichuan,37.77,65.01167524134837,150.71,259.4165342156113,61.882000000000005,63.096,25.1,510300,510000
Ziyang,Sichuan,54.1,95.50775028828303,133.25,235.2280548153199,51.299,52.325,24.25,512000,510000
Zunyi,Guizhou,41.7906,96.02181686838767,278.23,639.2853689556379,183.93146924,186.8816449,38.5303,520300,520000
