Province,year,mean_carbon_emissions
Anhui,1995,NA
Anhui,1997,NA
Anhui,1998,NA
Anhui,1999,NA
Anhui,2000,5.4300425573333335
Anhui,2001,7.237536234999999
Anhui,2002,4.682979393666667
Anhui,2003,9.3911418472
Anhui,2004,9.9128896032
Anhui,2005,10.161783706571429
Anhui,2006,10.7750539205
Anhui,2007,11.403976438692307
Anhui,2008,13.981137790266667
Anhui,2009,15.9919127344
Anhui,2010,18.1539449556
Anhui,2011,20.5484596554
Anhui,2012,22.2741486456
Anhui,2013,23.374200437733332
Anhui,2014,24.591896013133333
Anhui,2015,24.974074912533332
Anhui,2016,25.825954567133333
Anhui,2017,29.71412839676923
Anhui,2018,22.085039334142856
Anhui,2019,22.992534096214285
Fujian,1995,NA
Fujian,1997,NA
Fujian,1998,NA
Fujian,1999,NA
Fujian,2000,NA
Fujian,2001,2.267432316
Fujian,2002,9.892501494
Fujian,2003,5.132207791
Fujian,2004,NA
Fujian,2005,16.43383998
Fujian,2006,13.988441133333334
Fujian,2007,18.714006421
Fujian,2008,23.93552938225
Fujian,2009,20.122651105375
Fujian,2010,22.464229156777776
Fujian,2011,25.757014396555554
Fujian,2012,25.855175703222223
Fujian,2013,27.464059205111113
Fujian,2014,28.32596147077778
Fujian,2015,26.747904955555555
Fujian,2016,20.520756857857144
Fujian,2017,27.46947019
Fujian,2018,30.806597287444443
Fujian,2019,32.77149562633333
Gansu,1995,NA
Gansu,1997,NA
Gansu,1998,NA
Gansu,1999,NA
Gansu,2000,3.849085362
Gansu,2001,4.422074503
Gansu,2002,12.997419862666666
Gansu,2003,14.2698331565
Gansu,2004,23.8058299
Gansu,2005,16.652910239249998
Gansu,2006,21.326258358666667
Gansu,2007,18.655877045500002
Gansu,2008,24.500497463666665
Gansu,2009,15.998345115166666
Gansu,2010,18.9509698516
Gansu,2011,20.4193645836
Gansu,2012,21.581650858
Gansu,2013,20.187943701
Gansu,2014,21.753459925166666
Gansu,2015,20.611403546333335
Gansu,2016,36.23290211
Gansu,2017,NA
Gansu,2018,17.310332704
Gansu,2019,42.10931587
Guangdong,1995,NA
Guangdong,1997,38.1729711
Guangdong,1998,38.82495088
Guangdong,1999,40.61232449
Guangdong,2000,11.5273437566
Guangdong,2001,10.201940714210526
Guangdong,2002,11.674531987235294
Guangdong,2003,12.649093799842106
Guangdong,2004,15.010002219
Guangdong,2005,15.964668317388888
Guangdong,2006,17.58983009435294
Guangdong,2007,18.957209311555555
Guangdong,2008,20.64112906073684
Guangdong,2009,21.322742594
Guangdong,2010,24.114838581
Guangdong,2011,26.047639836736842
Guangdong,2012,25.220573776052632
Guangdong,2013,26.023249221157894
Guangdong,2014,29.114350292050002
Guangdong,2015,29.0746073155
Guangdong,2016,31.065053436842103
Guangdong,2017,89.77890719999999
Guangdong,2018,31.75980578161111
Guangdong,2019,31.875281316000002
Guangxi,1995,NA
Guangxi,1997,NA
Guangxi,1998,NA
Guangxi,1999,NA
Guangxi,2000,8.442596102333333
Guangxi,2001,8.190321620999999
Guangxi,2002,9.1356106722
Guangxi,2003,18.256466169
Guangxi,2004,11.106120112333333
Guangxi,2005,18.6019636975
Guangxi,2006,17.2228729308
Guangxi,2007,14.881254471857144
Guangxi,2008,13.9528966682
Guangxi,2009,14.931195931444444
Guangxi,2010,15.8036919233
Guangxi,2011,17.630595372000002
Guangxi,2012,17.319779292846153
Guangxi,2013,21.086968964181818
Guangxi,2014,19.1844558219
Guangxi,2015,17.874162592666668
Guangxi,2016,10.037632326
Guangxi,2017,10.4294782765
Guangxi,2018,30.076350361666666
Guangxi,2019,31.93066205333333
Guizhou,1995,7.237990922
Guizhou,1997,NA
Guizhou,1998,NA
Guizhou,1999,20.89813429
Guizhou,2000,16.76527131
Guizhou,2001,10.8676586015
Guizhou,2002,16.29107417325
Guizhou,2003,21.687677790000002
Guizhou,2004,16.126400224666668
Guizhou,2005,25.281019075
Guizhou,2006,24.279945373333334
Guizhou,2007,27.998669796666665
Guizhou,2008,28.604538636666668
Guizhou,2009,32.1333354
Guizhou,2010,24.34212993
Guizhou,2011,24.064230695
Guizhou,2012,23.783936596666667
Guizhou,2013,31.015237815
Guizhou,2014,31.928337284999998
Guizhou,2015,34.337527815
Guizhou,2016,36.206198865
Guizhou,2017,27.191757785
Guizhou,2018,20.514118240000002
Guizhou,2019,18.615456811999998
Hainan,1995,NA
Hainan,1997,NA
Hainan,1998,NA
Hainan,1999,NA
Hainan,2000,1.647019742
Hainan,2001,1.478692653
Hainan,2002,NA
Hainan,2003,3.348375048
Hainan,2004,2.795231616
Hainan,2005,2.32561251
Hainan,2006,2.820387998
Hainan,2007,2.882666619
Hainan,2008,3.778305966
Hainan,2009,4.341888635
Hainan,2010,4.859158062
Hainan,2011,4.517374427
Hainan,2012,4.424741741
Hainan,2013,4.975349975
Hainan,2014,5.392749617
Hainan,2015,5.129297569
Hainan,2016,4.09459637
Hainan,2017,5.140423042
Hainan,2018,5.36425818
Hainan,2019,5.93153909
Hebei,1995,NA
Hebei,1997,NA
Hebei,1998,NA
Hebei,1999,NA
Hebei,2000,40.70110035728571
Hebei,2001,54.53003939333333
Hebei,2002,52.55005614457143
Hebei,2003,56.597233608749995
Hebei,2004,61.133956621857145
Hebei,2005,58.5016162225
Hebei,2006,58.74086477111111
Hebei,2007,60.494909838000005
Hebei,2008,64.976481509
Hebei,2009,66.738540036
Hebei,2010,64.2408217968
Hebei,2011,79.21028055000001
Hebei,2012,81.34734132999999
Hebei,2013,82.745632563
Hebei,2014,71.67586311
Hebei,2015,69.56307621636364
Hebei,2016,71.94266810272727
Hebei,2017,91.4055796125
Hebei,2018,129.726694842
Hebei,2019,282.2523933
Heilongjiang,1995,NA
Heilongjiang,1997,NA
Heilongjiang,1998,NA
Heilongjiang,1999,NA
Heilongjiang,2000,19.8864266525
Heilongjiang,2001,20.639660962500002
Heilongjiang,2002,21.5610711025
Heilongjiang,2003,18.464934369799998
Heilongjiang,2004,18.825124346666666
Heilongjiang,2005,21.188225675666665
Heilongjiang,2006,21.52581541142857
Heilongjiang,2007,20.846948904714285
Heilongjiang,2008,20.474798263
Heilongjiang,2009,18.6790938082
Heilongjiang,2010,20.258049109199998
Heilongjiang,2011,22.6537081251
Heilongjiang,2012,22.529796033636362
Heilongjiang,2013,22.580166446
Heilongjiang,2014,21.605509377454545
Heilongjiang,2015,23.2478710233
Heilongjiang,2016,25.165784168363636
Heilongjiang,2017,25.93104056666667
Heilongjiang,2018,28.076383932
Heilongjiang,2019,29.478596086000003
Henan,1995,NA
Henan,1997,NA
Henan,1998,NA
Henan,1999,NA
Henan,2000,20.885436106714284
Henan,2001,29.732854378333332
Henan,2002,22.098088525714285
Henan,2003,24.593762583555556
Henan,2004,35.4650457084
Henan,2005,36.548770816
Henan,2006,37.13229292076923
Henan,2007,39.11779065428571
Henan,2008,40.9962201
Henan,2009,40.393587304375004
Henan,2010,33.775953752666666
Henan,2011,39.425435565
Henan,2012,41.18735287285714
Henan,2013,38.797880808533336
Henan,2014,37.91835592364286
Henan,2015,33.245377634200004
Henan,2016,38.041454269166664
Henan,2017,36.605476573749996
Henan,2018,35.024296760846156
Henan,2019,34.45972451833333
Hubei,1995,NA
Hubei,1997,NA
Hubei,1998,NA
Hubei,1999,NA
Hubei,2000,17.946497732799997
Hubei,2001,16.937182688166665
Hubei,2002,23.178040164600002
Hubei,2003,27.9258787145
Hubei,2004,20.734497915333336
Hubei,2005,20.939171971285713
Hubei,2006,21.06813964722222
Hubei,2007,20.2378563736
Hubei,2008,20.836565111272726
Hubei,2009,20.137165284923075
Hubei,2010,22.633399453000003
Hubei,2011,23.664727089666666
Hubei,2012,23.201253168727273
Hubei,2013,23.607131028583332
Hubei,2014,25.724673191166666
Hubei,2015,25.845350061416667
Hubei,2016,25.087065146833332
Hubei,2017,28.601602159555554
Hubei,2018,29.970021189545452
Hubei,2019,35.861912591090906
Hunan,1995,NA
Hunan,1997,NA
Hunan,1998,NA
Hunan,1999,NA
Hunan,2000,12.778064
Hunan,2001,18.741286809
Hunan,2002,17.712132403333335
Hunan,2003,11.7419101515
Hunan,2004,11.795510111
Hunan,2005,14.4510138385
Hunan,2006,17.234604610888887
Hunan,2007,17.564553722
Hunan,2008,16.498689521636365
Hunan,2009,19.78122664490909
Hunan,2010,19.325546481
Hunan,2011,20.683129226846155
Hunan,2012,19.49016297475
Hunan,2013,20.768871445416668
Hunan,2014,18.600837173
Hunan,2015,22.671619952
Hunan,2016,19.733448640666666
Hunan,2017,20.174130408375
Hunan,2018,20.26517223766667
Hunan,2019,22.130087500000002
Inner Mongolia,1995,NA
Inner Mongolia,1997,NA
Inner Mongolia,1998,NA
Inner Mongolia,1999,5.063049171
Inner Mongolia,2000,7.966035897
Inner Mongolia,2001,5.109313341
Inner Mongolia,2002,7.455317227
Inner Mongolia,2003,11.3327782
Inner Mongolia,2004,22.62470091
Inner Mongolia,2005,30.484832089999998
Inner Mongolia,2006,30.234635246666667
Inner Mongolia,2007,33.57649354666667
Inner Mongolia,2008,45.709685926
Inner Mongolia,2009,45.22058225
Inner Mongolia,2010,53.090242354285714
Inner Mongolia,2011,56.53657462428571
Inner Mongolia,2012,59.54180670428571
Inner Mongolia,2013,59.20329665714286
Inner Mongolia,2014,62.50142343428571
Inner Mongolia,2015,65.70161998428571
Inner Mongolia,2016,63.213979457142855
Inner Mongolia,2017,63.772495924285714
Inner Mongolia,2018,79.770081562
Inner Mongolia,2019,80.347891028
Jiangsu,1995,NA
Jiangsu,1997,NA
Jiangsu,1998,NA
Jiangsu,1999,NA
Jiangsu,2000,22.008589603875
Jiangsu,2001,23.302702727875
Jiangsu,2002,24.6425128561
Jiangsu,2003,28.921901374
Jiangsu,2004,40.643849279125
Jiangsu,2005,39.25166952591667
Jiangsu,2006,45.26003880090909
Jiangsu,2007,48.0265697425
Jiangsu,2008,45.820903944307695
Jiangsu,2009,49.57497827369231
Jiangsu,2010,55.05368384269231
Jiangsu,2011,62.041770828384614
Jiangsu,2012,63.49110240676924
Jiangsu,2013,68.75194238984615
Jiangsu,2014,69.22409036538461
Jiangsu,2015,73.37788922846154
Jiangsu,2016,69.32771947846153
Jiangsu,2017,73.36112814
Jiangsu,2018,73.5060635081
Jiangsu,2019,73.78202253181819
Jiangxi,1995,NA
Jiangxi,1997,NA
Jiangxi,1998,NA
Jiangxi,1999,NA
Jiangxi,2000,6.789330147666667
Jiangxi,2001,9.561688362750001
Jiangxi,2002,9.7342116922
Jiangxi,2003,13.3250124594
Jiangxi,2004,17.085591053
Jiangxi,2005,17.50313393
Jiangxi,2006,19.354611015
Jiangxi,2007,16.7750355675
Jiangxi,2008,16.2665135112
Jiangxi,2009,17.5197517583
Jiangxi,2010,17.73558560627273
Jiangxi,2011,21.3796621884
Jiangxi,2012,20.293615266272727
Jiangxi,2013,22.298757353
Jiangxi,2014,21.830505752818183
Jiangxi,2015,22.917533214272726
Jiangxi,2016,23.822398206454544
Jiangxi,2017,25.511797031
Jiangxi,2018,28.8168712975
Jiangxi,2019,28.611283482
Jilin,1995,NA
Jilin,1997,NA
Jilin,1998,NA
Jilin,1999,NA
Jilin,2000,9.795738145000001
Jilin,2001,13.466416165666667
Jilin,2002,13.98981998
Jilin,2003,15.127852235999999
Jilin,2004,15.14102158
Jilin,2005,19.673849889333333
Jilin,2006,19.070193597499998
Jilin,2007,16.938880130714285
Jilin,2008,18.71069564114286
Jilin,2009,19.006485002714285
Jilin,2010,22.268688950833333
Jilin,2011,19.903788603
Jilin,2012,20.44494952275
Jilin,2013,24.482624003333335
Jilin,2014,22.295480748857145
Jilin,2015,21.044534176857145
Jilin,2016,23.488909706999998
Jilin,2017,25.4239660504
Jilin,2018,37.2862001
Jilin,2019,40.953381155
Liaoning,1995,NA
Liaoning,1997,NA
Liaoning,1998,NA
Liaoning,1999,NA
Liaoning,2000,15.287625117200001
Liaoning,2001,23.23843422
Liaoning,2002,23.499828893333333
Liaoning,2003,24.7868447775
Liaoning,2004,18.810326457000002
Liaoning,2005,40.9166973125
Liaoning,2006,34.85830425857143
Liaoning,2007,35.544627905
Liaoning,2008,34.915613322285715
Liaoning,2009,43.075265792
Liaoning,2010,43.833420966
Liaoning,2011,45.705948303999996
Liaoning,2012,46.655515892000004
Liaoning,2013,49.245790838888894
Liaoning,2014,50.881304792222224
Liaoning,2015,41.589500612857144
Liaoning,2016,56.9843664975
Liaoning,2017,51.474759238
Liaoning,2018,75.30299696
Liaoning,2019,69.8610707
Ningxia,1995,NA
Ningxia,1997,NA
Ningxia,1998,NA
Ningxia,1999,NA
Ningxia,2000,NA
Ningxia,2001,NA
Ningxia,2002,17.31052883
Ningxia,2003,11.82649934
Ningxia,2004,23.81351931
Ningxia,2005,16.50715787
Ningxia,2006,13.63596591
Ningxia,2007,21.51742332
Ningxia,2008,26.55835428
Ningxia,2009,29.450314433333336
Ningxia,2010,29.772279250000004
Ningxia,2011,38.80532744
Ningxia,2012,40.383134784999996
Ningxia,2013,44.586706405
Ningxia,2014,48.482902423
Ningxia,2015,67.02594661500001
Ningxia,2016,49.58069169
Ningxia,2017,50.10668901
Ningxia,2018,66.18551706
Ningxia,2019,98.38812791500001
Qinghai,1995,NA
Qinghai,1997,NA
Qinghai,1998,NA
Qinghai,1999,NA
Qinghai,2000,NA
Qinghai,2001,NA
Qinghai,2002,NA
Qinghai,2003,NA
Qinghai,2004,NA
Qinghai,2005,NA
Qinghai,2006,NA
Qinghai,2007,NA
Qinghai,2008,18.78977166
Qinghai,2009,17.76678158
Qinghai,2010,16.74690115
Qinghai,2011,21.58602981
Qinghai,2012,25.96257528
Qinghai,2013,27.75087263
Qinghai,2014,26.50400319
Qinghai,2015,24.02961253
Qinghai,2016,NA
Qinghai,2017,NA
Qinghai,2018,NA
Qinghai,2019,NA
Shaanxi,1995,NA
Shaanxi,1997,NA
Shaanxi,1998,NA
Shaanxi,1999,NA
Shaanxi,2000,10.734406908
Shaanxi,2001,10.8909482025
Shaanxi,2002,10.62069048925
Shaanxi,2003,12.61696466625
Shaanxi,2004,20.41454007
Shaanxi,2005,23.904377291000003
Shaanxi,2006,26.06279567
Shaanxi,2007,32.648694917
Shaanxi,2008,28.725452677
Shaanxi,2009,25.084321575375
Shaanxi,2010,33.788989152875
Shaanxi,2011,36.580264261375
Shaanxi,2012,43.572425306777774
Shaanxi,2013,60.87105988771429
Shaanxi,2014,55.583669256875
Shaanxi,2015,66.34754861350001
Shaanxi,2016,76.54148975528571
Shaanxi,2017,142.82156258499998
Shaanxi,2018,73.690281056875
Shaanxi,2019,102.74329133766668
Shandong,1995,NA
Shandong,1997,10.78273258
Shandong,1998,6.5314304320000005
Shandong,1999,14.79161471
Shandong,2000,14.606239164636364
Shandong,2001,18.19027849618182
Shandong,2002,22.29878729927273
Shandong,2003,22.438301843363636
Shandong,2004,29.224301535285715
Shandong,2005,31.895938922
Shandong,2006,39.17294368928572
Shandong,2007,43.449247334285715
Shandong,2008,46.36567765642857
Shandong,2009,47.711326962142856
Shandong,2010,52.758795982307696
Shandong,2011,55.018134588461535
Shandong,2012,54.94724042
Shandong,2013,55.86863365538461
Shandong,2014,61.087486803846154
Shandong,2015,59.32224806230769
Shandong,2016,70.63319371615384
Shandong,2017,67.77401229083334
Shandong,2018,68.31441723777777
Shandong,2019,65.243223439
Shanxi,1995,NA
Shanxi,1997,NA
Shanxi,1998,NA
Shanxi,1999,NA
Shanxi,2000,NA
Shanxi,2001,NA
Shanxi,2002,53.11165532
Shanxi,2003,55.031478629999995
Shanxi,2004,26.301869517333333
Shanxi,2005,51.25482255
Shanxi,2006,59.304792223999996
Shanxi,2007,50.55297340625
Shanxi,2008,50.66314495125
Shanxi,2009,49.69413788125
Shanxi,2010,50.98977263625
Shanxi,2011,56.62937473625
Shanxi,2012,56.42815944625
Shanxi,2013,56.59410981375
Shanxi,2014,60.3053176725
Shanxi,2015,60.62064082625
Shanxi,2016,59.025999973750004
Shanxi,2017,68.35552296125
Shanxi,2018,67.37718719333333
Shanxi,2019,66.755252818
Sichuan,1995,NA
Sichuan,1997,NA
Sichuan,1998,NA
Sichuan,1999,NA
Sichuan,2000,15.0142772748
Sichuan,2001,17.0271484384
Sichuan,2002,21.79260768725
Sichuan,2003,20.9689255446
Sichuan,2004,7.792541283666666
Sichuan,2005,16.132951593
Sichuan,2006,17.583188871333334
Sichuan,2007,15.364729798399999
Sichuan,2008,14.017481186363636
Sichuan,2009,16.842040210454545
Sichuan,2010,16.521651871750002
Sichuan,2011,22.902808144583332
Sichuan,2012,23.413417920076924
Sichuan,2013,21.966145746846156
Sichuan,2014,22.956232910636363
Sichuan,2015,21.467823276181818
Sichuan,2016,20.007775371923078
Sichuan,2017,20.2441596378
Sichuan,2018,16.8356054934
Sichuan,2019,16.67412530075
Tibet,1995,NA
Tibet,1997,NA
Tibet,1998,NA
Tibet,1999,NA
Tibet,2000,NA
Tibet,2001,NA
Tibet,2002,NA
Tibet,2003,NA
Tibet,2004,NA
Tibet,2005,NA
Tibet,2006,NA
Tibet,2007,NA
Tibet,2008,NA
Tibet,2009,NA
Tibet,2010,NA
Tibet,2011,NA
Tibet,2012,NA
Tibet,2013,NA
Tibet,2014,NA
Tibet,2015,NA
Tibet,2016,NA
Tibet,2017,NA
Tibet,2018,NA
Tibet,2019,NA
Xinjiang,1995,NA
Xinjiang,1997,NA
Xinjiang,1998,NA
Xinjiang,1999,NA
Xinjiang,2000,20.96973678
Xinjiang,2001,20.99051821
Xinjiang,2002,27.5534911
Xinjiang,2003,28.18223288
Xinjiang,2004,43.00608004
Xinjiang,2005,47.13509558
Xinjiang,2006,39.3124512
Xinjiang,2007,19.4754597735
Xinjiang,2008,26.905859136
Xinjiang,2009,22.230754038333334
Xinjiang,2010,20.64303183057143
Xinjiang,2011,25.7181938345
Xinjiang,2012,29.302497686857144
Xinjiang,2013,31.917139119285714
Xinjiang,2014,31.595888174499997
Xinjiang,2015,34.373775806666664
Xinjiang,2016,NA
Xinjiang,2017,13.49695518
Xinjiang,2018,45.417755193000005
Xinjiang,2019,NA
Yunnan,1995,NA
Yunnan,1997,NA
Yunnan,1998,NA
Yunnan,1999,NA
Yunnan,2000,23.68194074
Yunnan,2001,27.24536716
Yunnan,2002,31.48284743
Yunnan,2003,34.92856784
Yunnan,2004,24.32519174
Yunnan,2005,39.52292415
Yunnan,2006,46.81271427
Yunnan,2007,46.52912189
Yunnan,2008,49.82160197
Yunnan,2009,48.26564994
Yunnan,2010,50.39335858
Yunnan,2011,53.02951498
Yunnan,2012,56.42042762
Yunnan,2013,49.070089624999994
Yunnan,2014,33.960776575000004
Yunnan,2015,NA
Yunnan,2016,27.508388705
Yunnan,2017,47.20799745
Yunnan,2018,29.830456294999998
Yunnan,2019,47.4129535295
Zhejiang,1995,NA
Zhejiang,1997,21.12318164
Zhejiang,1998,26.66336356
Zhejiang,1999,27.88550455
Zhejiang,2000,13.461340391111111
Zhejiang,2001,14.6345145163
Zhejiang,2002,16.9074016914
Zhejiang,2003,18.51158848881818
Zhejiang,2004,21.1622085956
Zhejiang,2005,24.888109142363636
Zhejiang,2006,28.602293475545455
Zhejiang,2007,32.24435092518182
Zhejiang,2008,32.932227718545455
Zhejiang,2009,33.57014347109091
Zhejiang,2010,35.838911472
Zhejiang,2011,40.396263345
Zhejiang,2012,40.18334374636363
Zhejiang,2013,39.344386446818184
Zhejiang,2014,39.27345028827273
Zhejiang,2015,39.56040799854545
Zhejiang,2016,39.438517827545454
Zhejiang,2017,40.95214827745455
Zhejiang,2018,42.9948405608
Zhejiang,2019,41.8290397318
