Province,Region
Xinjiang,Aksu
Xinjiang,Altay
Xinjiang,Aral
Jilin,Baicheng
Guangxi,Baise
Hainan,Baisha Li
Xinjiang,Baiyang
Gansu,Baiyin
Tianjin,Baodi
Inner Mongolia,Bayannur
Xinjiang,Bayingolin
Xinjiang,Beitun
Chongqing,Bishan
Xinjiang,Bortala
Tibet,Chamdo
Xinjiang,Changji
Chongqing,Changshou
Hunan,Chenzhou
Anhui,Chuzhou
Heilongjiang,Da Hinggan Ling
Hainan,Danzhou
Yunnan,Dehong
Yunnan,Deqen
Shandong,Dezhou
Chongqing,Dianjiang
Hainan,Dongfang
Sichuan,Garze
Qinghai,Golog
Xinjiang,Hami
Chongqing,Hechuan
Shandong,Heze
Inner Mongolia,Hinggan
Xinjiang,Hotan
Jiangsu,Huai'an
Hubei,Huangshi
Inner Mongolia,Hulun Beir
Xinjiang,Huyanghe
Xinjiang,Ili Kazakh
Shandong,Ji'nan
Chongqing,Jiangjin
Tianjin,Jizhou
Chongqing,Kaizhou
Xinjiang,Karamay
Xinjiang,Kashi
Xinjiang,Kekedala
Xinjiang,Kizilsu Kirgiz
Xinjiang,Kunyu
Guangxi,Laibin
Gansu,Lanzhou
Hainan,Ledong
Shandong,Liaocheng
Hainan,Lingshui
Anhui,Lu'an
Shanxi,LÃ¼liang
Guizhou,Lupanshui
Tibet,Nagqu
Chongqing,Nan'an
Chongqing,Nanchuan
Guangxi,Nanning
Tibet,Ngari
Yunnan,Nujiang
Chongqing,Pengshui
Yunnan,Pu'er
Guizhou,Qiandongnan
Guizhou,Qianxinan
Chongqing,Qijiang
Hainan,Qiongzhong
Zhejiang,Quzhou
Hainan,Sansha
Tibet,Shannan
Guangdong,Shantou
Hubei,Shennongjia
Xinjiang,Shihezi
Xinjiang,Shuanghe
Xinjiang,Tacheng
Xinjiang,Tiemenguan
Xinjiang,Tumxuk
Xinjiang,Turpan
Inner Mongolia,Ulanqab
Xinjiang,Urumqi
Xinjiang,Wujiaqu
Hunan,Xiangxi
Hubei,Xiantao
Xinjiang,Xinxing
Tianjin,Xiqing
Chongqing,Xiushan
Jiangsu,Yancheng
Chongqing,Yongchuan
Chongqing,Youyang
Chongqing,Yubei
Shanxi,Yuncheng
Chongqing,Zhong
Anhui,NA
Fujian,NA
Gansu,NA
Guangdong,NA
Guangxi,NA
Guizhou,NA
Hainan,NA
Hebei,NA
Heilongjiang,NA
Henan,NA
Hunan,NA
Inner Mongolia,NA
Jiangsu,NA
Liaoning,NA
Ningxia,NA
Qinghai,NA
Shaanxi,NA
Shandong,NA
Shanxi,NA
Sichuan,NA
Tibet,NA
Xinjiang,NA
Yunnan,NA
Zhejiang,NA
